num, numformat, bitwidth, exp_bits, mantissa_bits, quant_en, qbits, accuracy, top1conf, top2diff, ave_loss
1, fp_n, 16, 7, 8, False, -1, 78.016000, 66.835261, 61.572791, 0.839875
2, fp_n, 16, 3, 12, False, -1, 77.964000, 66.694295, 61.405127, 0.840654
3, fp_n, 16, 1, 14, False, -1, 8.318000, 0.159765, 0.003613, 4.254317
4, fp_n, 16, 2, 13, False, -1, 50.836000, 13.107674, 6.029916, 1.983331
5, fp_n, 8, 3, 4, False, -1, 77.628000, 66.297437, 61.021095, 0.850007
6, fp_n, 8, 1, 6, False, -1, 8.024000, 0.151674, 0.003790, 4.272105
7, fp_n, 8, 2, 5, False, -1, 48.796000, 11.972659, 5.434554, 2.046440
8, fp_n, 4, 1, 2, False, -1, 0.202000, 0.002944, 0.000044, 7.500794
9, fp_n, 4, 2, 1, False, -1, 0.204000, 0.014820, 0.008781, 7.578689
